commit_id,author_id
"9231","986"
"9232","986"
"9234","4095"
"9254","4104"
"9255","979"
"9257","979"
"9259","4095"
"9261","4095"
"9263","4095"
"9265","4095"
"9267","4108"
"9269","4108"
"9271","4095"
"9273","4095"
"9275","4095"
"9277","4095"
"9279","4095"
"9281","4095"
"9283","4095"
"9285","4095"
"9286","4095"
"9287","4095"
"9288","4095"
"9289","4095"
"9290","4095"
"9291","4095"
"9292","4112"
"9293","4114"
"9294","4114"
"9295","4114"
"9296","4115"
"9297","979"
"9298","979"
"9299","979"
"9300","986"
"9301","979"
"9302","979"
"9303","979"
"9304","988"
"9305","979"
"9306","979"
"9307","979"
"9308","986"
"9309","988"
"9310","979"
"9311","979"
"9312","988"
"9313","988"
"9314","979"
"9315","979"
"9316","979"
"9317","979"
"9318","979"
"9319","988"
"9320","979"
"9321","979"
"9322","979"
"9323","979"
"9324","979"
"9325","979"
"9326","979"
"9327","979"
"9328","979"
"9329","979"
"9330","4117"
"9331","986"
"9332","988"
"9333","979"
"9334","988"
"9335","988"
"9336","988"
"9338","4123"
"9344","4128"
"9346","979"
"9348","988"
"9350","988"
"9352","988"
"9355","988"
"9358","988"
"9359","988"
"9363","988"
"9366","988"
"9369","988"
"9371","988"
"9374","988"
"9376","988"
"9380","988"
"9383","988"
"9386","988"
"9389","988"
"9390","988"
"25917","988"
"41586","979"
"234695","988"
"234696","988"
"234697","988"
"234698","988"
"234700","988"
"234701","988"
"234702","988"
"234703","988"
"234704","988"
"234705","988"
"234706","988"
"234707","988"
"234708","988"
"234709","979"
"234710","979"
"234711","988"
"234712","979"
"234713","979"
"234714","19882"
"234715","4117"
"234716","986"
"234717","986"
"234718","988"
"234720","979"
"234721","979"
"234722","979"
"234723","988"
"843938","4095"
"1142394","986"
"2152711","979"
"2440046","988"
"2440047","986"
"2440048","979"
"2440049","979"
"2440050","979"
"2440052","988"
"2440053","988"
"2440055","979"
"2440057","979"
"2440058","979"
"2440059","979"
"2440060","979"
"2440061","986"
"2440062","986"
"2440103","988"
"2575146","979"
"2836956","979"
"2836957","979"
"3160851","289452"
"3160864","979"
"3160884","986"
"3160912","986"
"3160922","986"
"3160939","979"
"3160945","979"
"3160963","979"
"3160991","301614"
"3160998","988"
"3161011","988"
"3161033","988"
"3161073","988"
"3161104","979"
"3161111","988"
"3161130","988"
"3161208","988"
"3161222","988"
"3161241","988"
"3161265","988"
"3161314","988"
"3377901","988"
"3377903","986"
"3439960","4096"
"3439961","4096"
"3439962","4096"
"3439963","986"
"3439964","979"
"3439965","986"
"3439968","383378"
"3439969","979"
"3439970","979"
"3569597","986"
"3569598","4096"
"3629558","4096"
"3629559","979"
"3629560","979"
"3629561","979"
"3629562","979"
"3629563","979"
"3629564","986"
"3735593","4095"
"3735599","986"
"3735602","986"
"3735606","986"
"3735610","979"
"3735616","979"
"3735623","979"
"3735631","979"
"3735639","979"
"3735647","979"
"3743936","979"
"3745049","383378"
"3767692","979"
"3769561","4096"
"3773599","4096"
"3773600","4096"
"3773601","4096"
"3773603","4096"
"3901799","986"
"4120325","988"
"4120326","988"
"4120328","986"
"4120329","986"
"4189278","986"
"4314948","986"
"4314977","986"
"4417811","4096"
"4463430","979"
"4463432","979"
"4463436","986"
"4616667","979"
"4616689","979"
"4616691","986"
"4616701","988"
"4748224","979"
"4748229","979"
"4748246","979"
"4748253","979"
"4748265","979"
"4748275","979"
"4748290","4096"
"4748298","979"
"4748306","979"
"5086805","988"
"5086806","988"
"5086807","988"
"5086808","988"
"5086809","988"
"5086810","988"
"5086811","979"
"5086812","979"
"5086814","979"
"5086815","979"
"5086816","979"
"5086817","979"
"5086819","979"
"5086820","979"
"5086821","979"
"5086822","979"
"5086823","979"
"5086824","979"
"5086825","979"
"5086828","979"
"5086829","979"
"5086830","979"
"5086831","979"
"5086833","979"
"5086834","979"
"5086835","979"
"5086836","979"
"5086837","979"
"5086838","979"
"5086839","986"
"5086840","988"
"5086841","988"
"5086842","988"
"5086844","979"
"5086845","979"
"5086846","979"
"5086847","979"
"5086848","979"
"5086851","24434"
"5086853","988"
"5086854","988"
"5086855","988"
"5086856","988"
"5086857","988"
"5086858","4108"
"5086860","46271"
"5086862","51256"
"5086863","51256"
"5086864","51256"
"5086866","986"
"5086867","979"
"5086868","979"
"5086869","979"
"5086870","979"
"5086871","979"
"5086872","979"
"5086873","979"
"5086875","24434"
"5086876","979"
"5086877","979"
"5086878","979"
"5086882","350864"
"5086883","986"
"5086884","986"
"5086886","986"
"5086887","979"
"5086888","979"
"5086889","986"
"5086890","979"
"5086891","979"
"5086892","979"
"5086894","979"
"5086895","979"
"5086896","979"
"5086897","979"
"5086900","979"
"5086902","979"
"5086904","979"
"5086906","979"
"5086907","979"
"5086908","979"
"5086909","979"
"5086910","979"
"5086911","979"
"5086912","986"
"5086914","979"
"5086916","979"
