commit_id,author_id
"22783","8147"
"22785","8147"
"22787","8147"
"22789","8147"
"22791","8147"
"22793","8147"
"22795","8148"
"22797","8148"
"22798","8149"
"22802","8150"
"22803","8151"
"22806","8148"
"22808","8151"
"22812","8152"
"22814","8153"
"22816","8148"
"22818","8155"
"22819","8153"
"22821","8153"
"22825","8153"
"22827","8157"
"22832","8158"
"22833","3925"
"22838","8150"
"22841","8159"
"22844","8150"
"22847","8153"
"22850","8160"
"22854","8148"
"22857","3839"
"22862","8153"
"22866","8153"
"22868","3925"
"22874","8153"
"22876","3925"
"22880","8150"
"22882","8153"
"22885","129"
"22889","8164"
"22891","129"
"22893","129"
"22896","129"
"22900","129"
"22902","129"
"22905","129"
"22907","129"
"22910","129"
"22911","129"
"22915","129"
"22921","129"
"22923","129"
"22928","129"
"22932","129"
"22933","129"
"22937","8153"
"22941","8153"
"22945","129"
"22948","8148"
"22951","8166"
"22956","8148"
"22961","8170"
"22965","8148"
"22969","3839"
"22970","129"
"22975","8171"
"22979","129"
"22983","8174"
"22987","8153"
"22992","8153"
"22996","8166"
"23000","8174"
"23003","1760"
"23009","8174"
"23012","129"
"23017","8153"
"23022","8153"
"23028","8153"
"23033","8177"
"23037","8150"
"23040","109"
"23048","8179"
"23111","8182"
"23112","8179"
"23114","8147"
"23116","8147"
"23119","8147"
"23125","8147"
"23130","8153"
"23134","8153"
"23137","129"
"23140","8177"
"23144","8153"
"23147","8153"
"23150","8187"
"23154","8150"
"23156","8188"
"62741","17141"
"62742","17142"
"62743","8153"
"62756","8153"
"76388","8158"
"76400","8153"
"100168","8150"
"100170","8151"
"100183","8147"
"118782","8147"
"118783","8147"
"118785","129"
"118787","8153"
"118789","8153"
"118790","20802"
"118792","8153"
"118793","8174"
"118796","8174"
"118799","8174"
"118801","8174"
"118803","8174"
"118804","8174"
"118807","8174"
"118808","8174"
"118811","8150"
"137575","8158"
"143657","24693"
"239846","8147"
"262168","5113"
"262169","5113"
"262178","8158"
"262222","8158"
"262406","5113"
"262416","8153"
"262418","5113"
"262419","5113"
"262421","5113"
"262422","5113"
"262424","5113"
"262425","5113"
"262427","5113"
"262428","5113"
