commit_id,author_id
"5586","1975"
"5588","1975"
"5590","1975"
"5592","1975"
"5594","1975"
"5595","1979"
"5596","1979"
"5599","869"
"5600","872"
"5601","872"
"5603","869"
"5605","1981"
"5607","872"
"5837","872"
"5839","872"
"5842","869"
"5845","869"
"5848","869"
"5850","872"
"5851","869"
"5853","1979"
"5854","2016"
"5856","2016"
"5858","2016"
"5859","2016"
"5860","2017"
"5861","2016"
"5862","869"
"5863","1975"
"5864","1975"
"5866","1975"
"5870","1975"
"5872","2017"
"5874","2017"
"5876","2016"
"5880","2016"
"5883","872"
"5886","872"
"5889","1981"
"5892","2017"
"5895","2017"
"5898","2017"
"5904","2017"
"5910","2017"
"5912","2017"
"5915","2017"
"5918","2017"
"5922","2017"
"5925","2017"
"5928","2017"
"5931","869"
"5934","1975"
"5937","1975"
"5940","872"
"5942","869"
"5947","2024"
"5950","2024"
"5952","2016"
"5955","2025"
"5958","869"
"5961","1979"
"5964","869"
"5966","2026"
"5969","872"
"5972","869"
"5975","2016"
"5979","2029"
"5982","2029"
"5984","2030"
"5989","2030"
"6032","2030"
"6034","2030"
"6036","869"
"6038","869"
"6040","869"
"6042","869"
"6044","2016"
"6046","872"
"6048","872"
"6084","1981"
"6085","1981"
"6086","1981"
"6087","1981"
"6088","1981"
"6089","2030"
"6090","2030"
"6091","1979"
"6093","1979"
"6094","1979"
"6095","869"
"6096","872"
"7521","1981"
"7524","2078"
"170152","872"
"170154","872"
"170155","872"
"170157","872"
"170162","1979"
"170165","2016"
"170167","2016"
"170172","2030"
"170174","872"
"170175","2030"
"170179","2030"
"170182","872"
"170184","872"
"170185","2016"
"170187","2016"
"170189","872"
"170192","872"
"170193","1979"
"170195","1979"
"170198","872"
"170201","872"
"170204","2016"
"170205","1979"
"170206","1979"
"170207","2026"
"170212","872"
"170214","2016"
"170216","1979"
"170217","2016"
"170219","2016"
"170223","2016"
"170224","2078"
"170225","2078"
"170227","2078"
"170228","2078"
"170231","2016"
"170234","872"
"170235","2026"
"170236","2016"
"170237","2016"
"170241","2016"
"170244","872"
"170245","872"
"170250","2030"
"170251","2030"
"170253","2016"
"170257","3027"
"170258","2078"
"170260","2016"
"170261","1979"
"170266","1979"
"170267","1981"
"170268","2078"
"170270","2078"
"170271","2078"
"170276","2078"
"170281","2030"
"170283","2030"
"170284","3467"
"170289","2030"
"170290","1979"
"170292","2030"
"170293","2026"
"170295","1979"
"170297","1979"
"170299","1979"
"170303","1979"
"170304","2026"
"170305","2026"
"170306","2026"
"170310","2026"
"170312","2026"
"170313","2026"
"170314","2026"
"170316","2026"
"170322","2026"
"170326","2016"
"170327","2026"
"170332","2026"
"170335","2026"
"170336","2026"
"170337","2016"
"170339","2016"
"170340","1975"
